ADC No Duplicates,Temp
2999,0
2997,0.05
2995,0.1
2994,0.15
2992,0.2
2990,0.25
2988,0.3
2987,0.35
2985,0.4
2983,0.45
2981,0.5
2980,0.55
2978,0.6
2976,0.65
2974,0.7
2973,0.75
2971,0.8
2969,0.85
2967,0.9
2966,0.95
2964,1
2962,1.05
2960,1.1
2959,1.15
2957,1.2
2955,1.25
2953,1.3
2952,1.35
2950,1.4
2948,1.45
2946,1.5
2944,1.55
2943,1.6
2941,1.65
2939,1.7
2937,1.75
2936,1.8
2934,1.85
2932,1.9
2930,1.95
2929,2
2927,2.05
2925,2.1
2923,2.15
2921,2.2
2920,2.25
2918,2.3
2916,2.35
2914,2.4
2912,2.45
2911,2.5
2909,2.55
2907,2.6
2905,2.65
2903,2.7
2902,2.75
2900,2.8
2898,2.85
2896,2.9
2895,2.95
2893,3
2891,3.05
2889,3.1
2887,3.15
2885,3.2
2884,3.25
2882,3.3
2880,3.35
2878,3.4
2876,3.45
2875,3.5
2873,3.55
2871,3.6
2869,3.65
2867,3.7
2866,3.75
2864,3.8
2862,3.85
2860,3.9
2858,3.95
2856,4
2855,4.05
2853,4.1
2851,4.15
2849,4.2
2847,4.25
2846,4.3
2844,4.35
2842,4.4
2840,4.45
2838,4.5
2836,4.55
2835,4.6
2833,4.65
2831,4.7
2829,4.75
2827,4.8
2825,4.85
2824,4.9
2822,4.95
2820,5
2818,5.05
2816,5.1
2814,5.15
2812,5.2
2811,5.25
2809,5.3
2807,5.35
2805,5.4
2803,5.45
2801,5.5
2800,5.55
2798,5.6
2796,5.65
2794,5.7
2792,5.75
2790,5.8
2788,5.85
2787,5.9
2785,5.95
2783,6
2781,6.05
2779,6.1
2777,6.15
2775,6.2
2773,6.25
2772,6.3
2770,6.35
2768,6.4
2766,6.45
2764,6.5
2762,6.55
2760,6.6
2759,6.65
2757,6.7
2755,6.75
2753,6.8
2751,6.85
2749,6.9
2747,6.95
2745,7
2744,7.05
2742,7.1
2740,7.15
2738,7.2
2736,7.25
2734,7.3
2732,7.35
2730,7.4
2729,7.45
2727,7.5
2725,7.55
2723,7.6
2721,7.65
2719,7.7
2717,7.75
2715,7.8
2713,7.85
2712,7.9
2710,7.95
2708,8
2706,8.05
2704,8.1
2702,8.15
2700,8.2
2698,8.25
2696,8.3
2695,8.35
2693,8.4
2691,8.45
2689,8.5
2687,8.55
2685,8.6
2683,8.65
2681,8.7
2679,8.75
2677,8.8
2676,8.85
2674,8.9
2672,8.95
2670,9
2668,9.05
2666,9.1
2664,9.15
2662,9.2
2660,9.25
2658,9.3
2656,9.35
2655,9.4
2653,9.45
2651,9.5
2649,9.55
2647,9.6
2645,9.65
2643,9.7
2641,9.75
2639,9.8
2637,9.85
2635,9.9
2633,9.95
2632,10
2630,10.05
2628,10.1
2626,10.15
2624,10.2
2622,10.25
2620,10.3
2618,10.35
2616,10.4
2614,10.45
2612,10.5
2610,10.55
2609,10.6
2607,10.65
2605,10.7
2603,10.75
2601,10.8
2599,10.85
2597,10.9
2595,10.95
2593,11
2591,11.05
2589,11.1
2587,11.15
2585,11.2
2583,11.25
2582,11.3
2580,11.35
2578,11.4
2576,11.45
2574,11.5
2572,11.55
2570,11.6
2568,11.65
2566,11.7
2564,11.75
2562,11.8
2560,11.85
2558,11.9
2556,11.95
2554,12
2553,12.05
2551,12.1
2549,12.15
2547,12.2
2545,12.25
2543,12.3
2541,12.35
2539,12.4
2537,12.45
2535,12.5
2533,12.55
2531,12.6
2529,12.65
2527,12.7
2525,12.75
2523,12.8
2521,12.85
2520,12.9
2518,12.95
2516,13
2514,13.05
2512,13.1
2510,13.15
2508,13.2
2506,13.25
2504,13.3
2502,13.35
2500,13.4
2498,13.45
2496,13.5
2494,13.55
2492,13.6
2490,13.65
2488,13.7
2486,13.75
2484,13.8
2483,13.85
2481,13.9
2479,13.95
2477,14
2475,14.05
2473,14.1
2471,14.15
2469,14.2
2467,14.25
2465,14.3
2463,14.35
